Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA30,Daily_Change,Year,Month,Day,DayOfWeek,Prev_Close
2002-09-20,28.496735302156008,29.5005330427824,28.37590595790902,29.07298851013184,501072,0.0,0.0,30.050464884440103,-1.6352714028975424,2002,9,20,4,29.55631446838379
2002-09-23,29.277491220613808,29.351845619297112,28.459581489343485,28.58040809631348,248504,0.0,0.0,30.01917381286621,-1.6942888882809481,2002,9,23,0,29.07298851013184
2002-09-24,28.478150932403526,28.478150932403526,27.30705144574247,27.61376953125,267912,0.0,0.0,29.968983586629232,-3.3821720172993786,2002,9,24,1,28.58040809631348
2002-09-25,26.97246231971104,28.069204954896875,26.767983533146687,27.82754898071289,379544,0.0,0.0,29.992839304606118,0.7741769888423233,2002,9,25,2,27.61376953125
2002-09-26,28.403796036696548,28.710511279900185,28.06919578456015,28.264379501342773,178136,0.0,0.0,30.031256039937336,1.5697772050734526,2002,9,26,3,27.82754898071289
2002-09-27,28.171433889028656,28.99863806131079,28.171433889028656,28.6082706451416,206288,0.0,0.0,30.083304659525552,1.216694475045843,2002,9,27,4,28.264379501342773
2002-09-30,28.171443101716743,28.608280000685063,26.97246112629841,27.56730461120605,202232,0.0,0.0,30.1229611714681,-3.6386891289157064,2002,9,30,0,28.6082706451416
2002-10-01,27.697426299946592,28.069203834174065,26.860926847934785,27.334943771362305,240192,0.0,0.0,30.130396715799968,-0.8428855962555493,2002,10,1,1,27.56730461120605
2002-10-02,27.33494377136231,27.33494377136231,27.33494377136231,27.334943771362305,0,0.0,0.0,30.093529383341473,0.0,2002,10,2,2,27.334943771362305
2002-10-03,27.697424907558013,29.55631248524647,27.697424907558013,28.069202423095703,673264,0.0,0.0,30.04024117787679,2.6861538764263004,2002,10,3,3,27.334943771362305
2002-10-04,28.440985744701603,28.52463513548667,27.60448616397509,27.892614364624023,258296,0.0,0.0,29.921582857767742,-0.6291167658058594,2002,10,4,4,28.069202423095703
2002-10-07,28.078498174369155,28.255091931654512,27.53012689166729,27.77178001403809,110976,0.0,0.0,29.802614148457845,-0.4332127100254435,2002,10,7,0,27.892614364624023
2002-10-08,27.855426172403494,28.79416195090861,27.69741962386712,28.52462387084961,227352,0.0,0.0,29.734764734903973,2.710823204097723,2002,10,8,1,27.77178001403809
2002-10-09,28.62685221340184,29.08227884041882,27.55799247166768,27.79964828491211,277040,0.0,0.0,29.641819508870444,-2.541578073807238,2002,10,9,2,28.52462387084961
2002-10-10,28.626871278504098,28.626871278504098,27.242000475500348,27.82754898071289,173224,0.0,0.0,29.549804306030275,0.10036348487159064,2002,10,10,3,27.79964828491211
2002-10-11,28.60827254414999,28.952167806766536,28.338734470539677,28.4130916595459,192536,0.0,0.0,29.405120786031087,2.1041834451134944,2002,10,11,4,27.82754898071289
2002-10-14,28.94287229743744,28.99863947910768,27.93907437311993,28.2086124420166,152744,0.0,0.0,29.24246826171875,-0.7196654977903449,2002,10,14,0,28.4130916595459
